Program,Paragraph,Line,LocationTag,PathCondition,StatementKind,TargetVariable,FormulaOrValue
ESCAL056,3000-CALC-PAYMENT,358,ESCAL056:L358,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851'),MOVE,AMT-INDIC,'A'
ESCAL056,3000-CALC-PAYMENT,358,ESCAL056:L358,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851'),MOVE,BLOOD-DOLLAR,HEMO-PERI-CCPD-AMT
ESCAL056,3000-CALC-PAYMENT,358,ESCAL056:L358,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851') AND IF (B-COND-CODE = '73') AND (B-REV-CODE = '0841') THEN,COMPUTE,H-PYMT-AMT,H-PYMT-AMT + CAPD-AMT
ESCAL056,3000-CALC-PAYMENT,358,ESCAL056:L358,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851') AND IF (B-COND-CODE = '73') AND (B-REV-CODE = '0841') THEN,MOVE,AMT-INDIC,'A'
ESCAL056,3000-CALC-PAYMENT,358,ESCAL056:L358,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851') AND IF (B-COND-CODE = '73') AND (B-REV-CODE = '0841') THEN,MOVE,BLOOD-DOLLAR,CAPD-AMT
ESCAL056,3000-CALC-PAYMENT,358,ESCAL056:L358,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851') AND IF (B-COND-CODE = '73') AND (B-REV-CODE = '0841') THEN AND IF (B-COND-CODE = '74') AND (B-REV-CODE = '0841' OR '0851') THEN,COMPUTE,H-PYMT-AMT ROUNDED,H-PYMT-AMT * CAPD-OR-CCPD-FACTOR
ESCAL056,3000-CALC-PAYMENT,358,ESCAL056:L358,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851') AND IF (B-COND-CODE = '73') AND (B-REV-CODE = '0841') THEN AND IF (B-COND-CODE = '74') AND (B-REV-CODE = '0841' OR '0851') THEN,MOVE,HEMO-CCPD-CAPD,CAPD-OR-CCPD-FACTOR
ESCAL056,3000-CALC-PAYMENT,358,ESCAL056:L358,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851') AND IF (B-COND-CODE = '73') AND (B-REV-CODE = '0841') THEN AND IF (B-COND-CODE = '74') AND (B-REV-CODE = '0841' OR '0851') THEN,MOVE,AMT-INDIC,'A'
ESCAL056,3000-CALC-PAYMENT,358,ESCAL056:L358,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851') AND IF (B-COND-CODE = '73') AND (B-REV-CODE = '0841') THEN AND IF (B-COND-CODE = '74') AND (B-REV-CODE = '0841' OR '0851') THEN,MOVE,BLOOD-DOLLAR,ZERO
ESCAL056,3000-CALC-PAYMENT,381,ESCAL056:L381,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851') AND IF (B-COND-CODE = '73') AND (B-REV-CODE = '0841') THEN AND IF (B-COND-CODE = '74') AND (B-REV-CODE = '0841' OR '0851') THEN,MOVE,PPS-FINAL-PAY-AMT,H-PYMT-AMT
ESCAL056,3000-CALC-PAYMENT,382,ESCAL056:L382,IF (B-COND-CODE = '73') AND (B-REV-CODE = '0821' OR '0831' OR '0851') AND IF (B-COND-CODE = '73') AND (B-REV-CODE = '0841') THEN AND IF (B-COND-CODE = '74') AND (B-REV-CODE = '0841' OR '0851') THEN,MOVE,PPS-WAGE-ADJ-RATE,ZERO
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN,MOVE,PPS-COND-CODE,B-COND-CODE
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN,MOVE,PPS-REV-CODE,B-REV-CODE
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN,MOVE,PPS-MSA,P-GEO-MSA
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN,MOVE,PPS-CBSA,P-GEO-CBSA
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN,MOVE,PPS-AGE-FACTOR,H-AGE-FACTOR
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN,MOVE,PPS-BSA-FACTOR,H-BSA-FACTOR
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN,MOVE,PPS-BMI-FACTOR,H-BMI-FACTOR
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN,MOVE,DRUG-ADD-ON-RETURN,H-DRUG-ADDON
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,PPS-WAGE-ADJ-RATE,W-NEW-RATE1-RECORD
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,MSA-WAGE-AMT,W-NEW-RATE1-RECORD
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,MSA-WAGE-ADJ,W-NEW-RATE1-RECORD
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,PPS-WAGE-ADJ-RATE,W-NEW-RATE2-RECORD
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,MSA-WAGE-AMT,W-NEW-RATE2-RECORD
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,MSA-WAGE-ADJ,W-NEW-RATE2-RECORD
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,CBSA-WAGE-ADJ,ZERO
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,CBSA-PCT,CBSA-BLEND-PCT
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,MSA-PCT,MSA-BLEND-PCT
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,CBSA-WAGE-PMT-RATE,ZERO
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,AGE-RETURN,H-PATIENT-AGE
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,CBSA-WAGE-INDEX,ZERO
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN,MOVE,LABOR-PCT,NAT-LABOR-PCT
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,PPS-COND-CODE,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,PPS-REV-CODE,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,PPS-MSA,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,PPS-CBSA,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,PPS-AGE-FACTOR,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,PPS-BSA-FACTOR,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,PPS-BMI-FACTOR,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,DRUG-ADD-ON-RETURN,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,MSA-WAGE-ADJ,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,CBSA-WAGE-ADJ,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,CBSA-PCT,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,MSA-PCT,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,CASE-MIX-FCTR-ADJ-RATE,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,CBSA-WAGE-PMT-RATE,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,HEMO-CCPD-CAPD,DEFAULT_INITIAL_VALUES
ESCAL056,9000-MOVE-RESULTS,386,ESCAL056:L386,IF PPS-RTC < 50 THEN AND IF OLD-TEST-CASE THEN AND IF P-PROV-TYPE = '40' OR '05' THEN AND IF OLD-TEST-CASE THEN,INITIALIZE,AGE-RETURN,DEFAULT_INITIAL_VALUES
ESCAL062,0100-INITIAL-ROUTINE,192,ESCAL062:L192,ALWAYS (Unconditional),INITIALIZE,PPS-DATA-ALL,DEFAULT_INITIAL_VALUES
ESCAL062,0100-INITIAL-ROUTINE,193,ESCAL062:L193,ALWAYS (Unconditional),INITIALIZE,BILL-DATA-TEST,DEFAULT_INITIAL_VALUES
ESCAL062,0100-INITIAL-ROUTINE,194,ESCAL062:L194,ALWAYS (Unconditional),INITIALIZE,HOLD-PPS-COMPONENTS,DEFAULT_INITIAL_VALUES
ESCAL062,0100-INITIAL-ROUTINE,195,ESCAL062:L195,ALWAYS (Unconditional),MOVE,PPS-RTC,ZEROS
ESCAL062,0100-INITIAL-ROUTINE,196,ESCAL062:L196,ALWAYS (Unconditional),MOVE,PPS-CALC-VERS-CD,CAL-VERSION
ESCAL062,0100-INITIAL-ROUTINE,199,ESCAL062:L199,IF P-PROV-TYPE = '40' OR '05',MOVE,PPS-NAT-LABOR-PCT,NAT-LABOR-PCT
ESCAL062,0100-INITIAL-ROUTINE,199,ESCAL062:L199,IF P-PROV-TYPE = '40' OR '05',MOVE,PPS-NAT-NONLABOR-PCT,NAT-NONLABOR-PCT
ESCAL062,0100-INITIAL-ROUTINE,199,ESCAL062:L199,IF P-PROV-TYPE = '40' OR '05',MOVE,H-PYMT-RATE,HOSP-BASED-PMT-RATE
ESCAL062,0100-INITIAL-ROUTINE,199,ESCAL062:L199,IF P-PROV-TYPE = '40' OR '05',COMPUTE,H-2006-WAGE-ADJ-PYMT ROUNDED,W-NEW-RATE1-RECORD * MSA-WAGE-FACTOR-2006
ESCAL062,0100-INITIAL-ROUTINE,199,ESCAL062:L199,IF P-PROV-TYPE = '40' OR '05',MOVE,H-WAGE-ADJ-PYMT-OLD,H-2006-WAGE-ADJ-PYMT
